software,count
BME-SW-Simulia-Abaqus-6.8-20090518,0
BME-SW-Tecplot-Tecplot 360-2013R1,0
BME-SW-Aquaveo-GMS-7.1,0
BME-SW-CD adapco-Star CCM-10.02,0
BME-SW-Tecplot-Tecplot 360-2011,0
BME-SW-Microsoft-Visual Studio-2012 Update 3,0
BME-FW-Eclipse-Eclipse-4.4.2-SS,0
BME-SW-Bentley-GEOPAK V8i-08.11.07.566,0
BME-SW-Surfware-SurfCAM-6SP2,0
BME-SW-National Instruments-LabVIEW-2013-SS,0
BME-SW-Autodesk-Recap Pro-2018,0
BME-FW-Slack-Slack-2.2.1,0
BME-SW-Autodesk-Recap Pro-2018-SS,0
BME-FW-Slack-Slack-2.2.1-SS,0
BME-SW-IBM-ILOG CPLEX-12.7.1,0
BME-SW-IBM-ILOG CPLEX-12.7.1-SS,0
BME-SW-Surfware-Surfcam-5.0,0
BME-SW-Autodesk-Fusion 360-2017,0
BME-SW-OriginLab-Origin-9.1SR2-SS,0
BME-SW-PTC-MathCAD Prime-3.0,0
BME-SW-IBM-ILOG CPLEX-12.5-SS,0
BME-SW-Bentley-MicroStation V8i-08.11.09.608-SS,0
BME-SW-Lindo Systems-Lindo-6.1-20080421,0
BME-SW-PTC-Pro Engineer-5,0
BME-SW-Tecplot-Tecplot 360-2013R1-SS,0
BME-SW-ESRI-ArcGIS Pro-1.1.3308,0
BME-SW-Microsoft-Visual Studio Ultimate-2013,
BME-FW-Microsoft-Visual C Express-2011-SS,0
BME-SW-SolidWorks-SolidWorks-2012SP3-SS,0
BME-SW-Adobe-Creative Cloud Full User License-2015-SS,0
BME-FW-Scintilla-SciTE-3.5.7,0
BME-FW-Oracle-Java JRE-8u72-SS,0
BME-SW-EMSSOFTWARE-EMS-43.0.372.0,0
BME-FW-Scintilla-SciTE-3.4.3-SS,0
BME-FW-Project R-R-3.2.1,0
BME-SW-Adobe-Premiere Pro-2015,0
BME-SW-SAS-SAS TR License Update-9.3,0
BME-FW-RStudio-RStudio-1.1.383-SS,0
BME-SW-Ansys-Ansys Electronics-18.1,0
BME-SW-Adobe-After Effects User License-2015,0
BME-SW-EMSSOFTWARE-EMS-44.1.23000.404,0
BME-SW-Ansys-Ansys Electronics-18.1-SS,0
BME-SW-EMSSOFTWARE-EMS-44.1.23000.404-SS,0
BME-FW-Project R-R-3.2.1-SS,0
BME-FW-Python-Python-2.7.5-SS,0
BME-SW-AdmissionPros-Enterprise NCSU-4.0.602,0
BME-SW-Ansys-Ansys Fluid Structures-18.1,0
BME-SW-Ansys-Ansys Fluid Structures-18.1-SS,0
BME-SW-SAS-SAS-9.4-r2,41
BME-SW-TechSmith-Camtasia Relay-4.0,0
BME-SW-Starnet-XWin32-18.0.10,0
BME-SW-Ansys-Ansys Suite-18.1,0
BME-SW-Microsoft-Office Professional-2016,107
BME-FW-Dell-Dell Command Update Utility-2.2.0,0
BME-SW-IBM-SPSS-20-SS,0
BME-SW-Starnet-XWin32-18.0.10-SS,0
BME-SW-Ansys-Ansys Suite-18.1-SS,0
BME-SW-Granta Design-CES EduPack-2018,0
BME-SW-MathWorks-MATLAB-R2015b,
BME-SW-TechSmith-Camtasia Relay-4.3.1-SS,0
BME-SW-Granta Design-CES EduPack-2018-SS,0
BME-SW-Cisco-Network Recording Player-2.29.3200.910-SS,0
BME-SW-Cisco-Jabber-9.7.1 Build 18710-SS,0
BME-SW-Microsoft-Project Professional-2016,2
BME-SW-ANSYS-ANSYS-19.1,41
BME-SW-ANSYS-ANSYS-19.1-SS,0
BME-FW-Python-Python-3.6.2,0
BME-FW-Oracle-Java JRE-8u65-SS,0
BME-SW-Autodesk-Simulation Moldflow Adviser-2015,0
BME-FW-Google-Earth Pro-7.3.0.3832,0
BME-SW-Cisco-Jabber-11.8.3 Build 51659-SS,0
BME-FW-Oracle-Java JRE-8u51-SS,0
